Symbol,Name,Exchange,SnapshotDate
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,2026-05-21
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,2026-05-21
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,2026-05-21
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,2026-05-21
AAON,"AAON, Inc. - Common Stock",NASDAQ,2026-05-21
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,2026-05-21
AAPL,Apple Inc. - Common Stock,NASDAQ,2026-05-21
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,2026-05-21
ABAT,American Battery Technology Company - Common Stock,NASDAQ,2026-05-21
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,2026-05-21
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,2026-05-21
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,2026-05-21
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,2026-05-21
ABSI,Absci Corporation - Common Stock,NASDAQ,2026-05-21
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,2026-05-21
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,2026-05-21
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,2026-05-21
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,2026-05-21
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,NASDAQ,2026-05-21
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,2026-05-21
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,2026-05-21
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,2026-05-21
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,2026-05-21
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,2026-05-21
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,2026-05-21
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,2026-05-21
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,2026-05-21
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,2026-05-21
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,2026-05-21
ACIU,AC Immune SA - Common Stock,NASDAQ,2026-05-21
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,2026-05-21
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,2026-05-21
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,2026-05-21
ACNB,ACNB Corporation - Common Stock,NASDAQ,2026-05-21
ACNT,Ascent Industries Co. - Common Stock,NASDAQ,2026-05-21
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,2026-05-21
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,2026-05-21
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,2026-05-21
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,2026-05-21
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,2026-05-21
ACTG,Acacia Research Corporation - Common Stock,NASDAQ,2026-05-21
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,2026-05-21
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,2026-05-21
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,2026-05-21
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,2026-05-21
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,2026-05-21
ADBE,Adobe Inc. - Common Stock,NASDAQ,2026-05-21
ADEA,Adeia Inc.  - Common Stock,NASDAQ,2026-05-21
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,2026-05-21
ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,2026-05-21
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,2026-05-21
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,2026-05-21
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,2026-05-21
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,2026-05-21
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,2026-05-21
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,2026-05-21
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,2026-05-21
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ,2026-05-21
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,2026-05-21
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ,2026-05-21
ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ,2026-05-21
